title,duration,genre,time_slot,IsTV
Episode 8 Don't Fool With a Phantom,22.241,Unknown,morning,True
Episode 1,20.35088611666667,Unknown,morning,True
Avatar.The.Last.Airbender.S02E13.The.Drill.1080p.BluRay.x265.HEVC.6CH-MRN,23.9415,Unknown,morning,True
Hitler's Golden Murder Palace,25.99445,Action|Adventure|Comedy,morning,True
European Maneater,40.84835,Documentary|Adventure|Mystery,morning,True
Survivorman-S03E04,43.0364,Unknown,morning,True
Get a Life - S2E08 - Girlfriend,23.35555445,Unknown,morning,True
Episode 4 Scooby's Night with a Frozen Fright,22.088066666666666,Unknown,morning,True
Piranha,41.08168333333333,Documentary|Adventure|Mystery,morning,True
Avatar.The.Last.Airbender.S02E18.The.Earth.King.1080p.BluRay.x265.HEVC.6CH-MRN,24.5367,Unknown,morning,True
Episode 5,19.873742783333334,Unknown,morning,True
Survivorman-S03E03,43.378891116666665,Unknown,morning,True
Get a Life - S2E07 - Chris Becomes a Male Escort,22.32452445,Unknown,morning,True
Episode 3 Jeepers It's the Creeper,21.9532,Unknown,morning,True
I Danced for Hitler!,26.40625,Action|Adventure|Comedy,morning,True
Avatar.The.Last.Airbender.S02E15.Tales.of.Ba.Sing.Se.1080p.BluRay.x265.HEVC.6CH-MRN,24.604966666666666,Unknown,morning,True
Episode 1 Nowhere to Hyde,22.028983333333333,Unknown,morning,True
Freshwater Shark,40.50301666666667,Documentary|Adventure|Mystery,morning,True
Episode 2,20.390926116666666,Unknown,morning,True
Survivorman - S03E01,42.86955101666667,Unknown,morning,True
The Diamond Girls,25.072916666666668,Action|Adventure|Comedy,morning,True
Get a Life - S2E10 - Bad Fish,23.048025,Unknown,morning,True
Episode 5  Haunted House Hang-Up,22.072766666666666,Unknown,morning,True
Alligator Gar,40.60701666666667,Documentary|Adventure|Mystery,morning,True
Survivorman-S03E02,43.5372,Unknown,morning,True
Episode 7 Who's Afraid of the Big Bad Werewolf,22.099883333333334,Unknown,morning,True
Danger 5 Series 1,26.1375,Unknown,morning,True
Episode 4,19.89,Unknown,morning,True
Get a Life - S2E12,22.77052554833333,Unknown,morning,True
Avatar.The.Last.Airbender.S02E08.The.Chase.1080p.BluRay.x265.HEVC.6CH-MRN,24.609233333333332,Unknown,morning,True
Killer Catfish,43.28691666666667,Documentary|Adventure|Mystery,morning,True
Episode 6 A Tiki Scare Is No Fair,22.075549998333333,Unknown,morning,True
Survivorman-S03E05,43.0444,Unknown,morning,True
Get a Life - S2E01 - Chris Moves Out,22.83503445,Unknown,morning,True
Amazon Flesh Eaters,43.16101666666667,Documentary|Adventure|Mystery,morning,True
Lizard Soldiers of the Third Reich,26.68125,Action|Adventure|Comedy,morning,True
Episode 3,19.889313883333333,Unknown,morning,True
Avatar.The.Last.Airbender.S02E12.The.Serpents.Pass.1080p.BluRay.x265.HEVC.6CH-MRN,24.078033333333334,Unknown,morning,True
Episode 10 The Creepy Creature of Vulture's Claw,22.526,Unknown,morning,True
Get a Life - S2E06 - Prisoner of Love,23.05303,Unknown,morning,True
Survivorman 102 Arizona Desert,46.44584388333333,Unknown,morning,True
Avatar.The.Last.Airbender.S02E06.The.Blind.Bandit.1080p.BluRay.x265.HEVC.6CH-MRN,24.531716666666668,Unknown,morning,True
Episode 1,20.9216,Unknown,morning,True
Amazon Assassins,43.16101666666667,Documentary|Adventure|Mystery,morning,True
Fresh Meat for Hitler's Sex Kitchen,26.354166666666668,Action|Adventure|Comedy,morning,True
Cartoon Planet - 10 - 20021127 - Tom Foolery,22.3858055,Unknown,morning,True
Episode 14 Don't Go Near the Fortress of Fear,22.744966666666667,Unknown,morning,True
Cartoon Planet - 21 - 20021210 - Those Miserables,22.388586,Unknown,morning,True
Get a Life - S2E11 - SPEWEY and Me,23.23321,Unknown,morning,True
Jungle Killer,42.4394,Documentary|Adventure|Mystery,morning,True
